Name,x,y,normal,undiff,well_diff,Class
Tile 8916,44013.0,49168.0,6.943057087482885E-5,0.0012614545412361622,0.9986691474914551,well_diff
Tile 8917,44013.0,49680.0,1.3011686454851568E-13,1.42810879766829E-13,1.0,well_diff
Tile 8919,44013.0,50704.0,6.913698502586385E-10,7.354738484899315E-10,1.0,well_diff
Tile 8926,44013.0,54288.0,5.941085873928387E-6,6.158580617920961E-6,0.9999878406524658,well_diff
Tile 8927,44013.0,54800.0,1.1750014294875655E-9,1.2500813717508663E-9,1.0,well_diff
Tile 8928,44013.0,55312.0,1.4494344309848306E-12,1.5915190172688387E-12,1.0,well_diff
Tile 8929,44013.0,55824.0,1.7667150294803369E-12,1.9247650348552803E-12,1.0,well_diff
Tile 8930,44013.0,56336.0,3.884832421105127E-20,4.490953538597333E-20,1.0,well_diff
Tile 8932,44013.0,57360.0,1.8680994980968535E-4,1.9176983914803714E-4,0.9996213912963867,well_diff
Tile 8933,44013.0,57872.0,3.8019710046910404E-8,4.0055763150803614E-8,1.0,well_diff
Tile 8934,44013.0,58384.0,0.0027549751102924347,0.0027863935101777315,0.9944586753845215,well_diff
Tile 8939,44013.0,60944.0,6.644064853844611E-8,7.088398490395775E-8,0.9999997615814209,well_diff
Tile 8941,44013.0,61968.0,1.6773439710959792E-5,1.726531445456203E-5,0.9999659061431885,well_diff
Tile 8942,44013.0,62480.0,1.8324244592804462E-5,1.8729528164840303E-5,0.9999629259109497,well_diff
Tile 8947,44013.0,65040.0,0.006079106591641903,0.006104467902332544,0.9878163933753967,well_diff
Tile 8949,44013.0,66064.0,1.1769442069270718E-16,1.3250064925494096E-16,1.0,well_diff
Tile 8950,44013.0,66576.0,8.832725106877604E-10,9.418091861945754E-10,1.0,well_diff
Tile 8953,44013.0,68112.0,3.708298425275647E-12,4.0521505421942106E-12,1.0,well_diff
Tile 8954,44013.0,68624.0,4.061319164781437E-16,4.590995865874745E-16,1.0,well_diff
Tile 8955,44013.0,69136.0,5.7267943702754565E-6,5.856192274222849E-6,0.9999884366989136,well_diff
Tile 8956,44013.0,69648.0,7.28934352878241E-8,7.499960474888212E-8,0.9999997615814209,well_diff
Tile 8964,44013.0,73744.0,8.676986240629958E-9,9.169392356511707E-9,1.0,well_diff
Tile 8965,44013.0,74256.0,2.562659240368248E-8,2.6859767743303564E-8,1.0,well_diff
Tile 8966,44013.0,74768.0,6.428111191780772E-6,6.6061979850928765E-6,0.999987006187439,well_diff
Tile 8971,44013.0,77328.0,3.0700148272444494E-6,3.182097316312138E-6,0.9999936819076538,well_diff
Tile 8973,44013.0,78352.0,3.766509593106093E-8,3.969245554458212E-8,1.0,well_diff
Tile 8982,44013.0,82960.0,0.017044683918356895,0.010798091068863869,0.9721572399139404,well_diff
Tile 8983,44013.0,83472.0,4.245138143232907E-7,4.4525970110953494E-7,0.9999990463256836,well_diff
Tile 8984,44013.0,83984.0,1.1020836245734245E-4,1.1245202767895535E-4,0.9997772574424744,well_diff
Tile 8985,44013.0,84496.0,2.2246394976139323E-15,2.5210679948679945E-15,1.0,well_diff
Tile 8986,44013.0,85008.0,1.0922760227760966E-13,1.1963127428786524E-13,1.0,well_diff
Tile 8987,44013.0,85520.0,1.1200226498856845E-17,1.2638326315894587E-17,1.0,well_diff
Tile 8998,44013.0,91152.0,1.2904799405077938E-5,1.3382267752604093E-5,0.9999737739562988,well_diff
Tile 9000,44013.0,92176.0,5.535155667146796E-13,6.008389315595442E-13,1.0,well_diff
Tile 9001,44013.0,92688.0,8.548642696504238E-12,9.186778941738805E-12,1.0,well_diff
Tile 9003,44013.0,93712.0,8.697946323081851E-4,8.847777498885989E-4,0.9982454776763916,well_diff
Tile 9004,44013.0,94224.0,2.5095781893469393E-4,2.5495191221125424E-4,0.9994940757751465,well_diff
Tile 9005,44013.0,94736.0,2.331748483186402E-8,2.469722737430402E-8,1.0,well_diff
Tile 9007,44013.0,95760.0,1.0817011207109317E-4,0.010777547955513,0.9891142845153809,well_diff
Tile 9008,44013.0,96272.0,2.55071408439278E-10,2.679710897623977E-10,1.0,well_diff
Tile 9009,44013.0,96784.0,6.362701476803068E-10,6.705307975529706E-10,1.0,well_diff
Tile 9014,44526.0,3600.0,0.00556861562654376,0.09047562628984451,0.9039557576179504,well_diff
Tile 9016,44526.0,4624.0,4.242241266183555E-4,4.387630906421691E-4,0.9991369843482971,well_diff
Tile 9017,44526.0,5136.0,1.1984886011135593E-14,1.3186997710977737E-14,1.0,well_diff
Tile 9019,44526.0,6160.0,4.4417894902035727E-17,4.9549475268130945E-17,1.0,well_diff
Tile 9020,44526.0,6672.0,2.117433062035185E-18,2.402736340701156E-18,1.0,well_diff
Tile 9025,44526.0,11280.0,9.268170675369447E-10,9.88497839138347E-10,1.0,well_diff
Tile 9031,44526.0,14352.0,0.0033026249147951603,0.01888207346200943,0.9778152704238892,well_diff
Tile 9032,44526.0,14864.0,1.4635469725021721E-8,1.524605330871509E-8,1.0,well_diff
Tile 9034,44526.0,15888.0,1.3447466230831484E-11,1.4484403260128786E-11,1.0,well_diff
Tile 9035,44526.0,16400.0,1.5823177434981517E-8,1.682936101587984E-8,1.0,well_diff
Tile 9036,44526.0,16912.0,6.685720770407966E-13,7.118269732334093E-13,1.0,well_diff
Tile 9040,44526.0,18960.0,9.77249233983457E-4,0.010449551977217197,0.9885731935501099,well_diff
Tile 9041,44526.0,19472.0,9.868960509917812E-11,1.0619825158153517E-10,1.0,well_diff
Tile 9042,44526.0,19984.0,1.3263804430607706E-4,1.3581027451436967E-4,0.9997314810752869,well_diff
Tile 9043,44526.0,20496.0,9.10831730038808E-8,9.584531568407328E-8,0.9999997615814209,well_diff
Tile 9044,44526.0,21008.0,2.8971650653606545E-14,3.2109026808918584E-14,1.0,well_diff
Tile 9050,44526.0,24080.0,1.1130191820279967E-12,1.2194315652733212E-12,1.0,well_diff
Tile 9056,44526.0,27152.0,3.4370584156562245E-10,3.6972991335204597E-10,1.0,well_diff
Tile 9058,44526.0,28176.0,6.191409052114238E-10,6.828878018616535E-10,1.0,well_diff
Tile 9059,44526.0,28688.0,2.4110840968205594E-5,2.4809272872516885E-5,0.9999511241912842,well_diff
Tile 9061,44526.0,29712.0,2.2594850524002702E-13,2.5173946586153073E-13,1.0,well_diff
Tile 9062,44526.0,30224.0,1.4228489914058784E-11,1.547652284106249E-11,1.0,well_diff
Tile 9072,44526.0,35344.0,5.638761649606749E-6,5.914739176660078E-6,0.9999884366989136,well_diff
