Name,x,y,normal,undiff,well_diff,Class
Tile 11156,50169.0,97296.0,9.834341567615677E-16,1.0,1.0286035651024426E-15,undiff
Tile 11157,50682.0,1552.0,1.8591808981227587E-8,1.0,1.91291089635115E-8,undiff
Tile 11158,50682.0,2064.0,5.9566364143393E-6,0.9999297857284546,6.426312756957486E-5,undiff
Tile 11161,50682.0,6160.0,7.532731771675572E-9,1.0,7.477819252699192E-9,undiff
Tile 11172,50682.0,11792.0,8.562178337211471E-14,1.0,9.80209077967864E-13,undiff
Tile 11174,50682.0,12816.0,6.893129902891815E-4,0.9796290993690491,0.01968163438141346,undiff
Tile 11177,50682.0,14352.0,3.940542770558553E-12,1.0,2.7566633004072472E-11,undiff
Tile 11178,50682.0,14864.0,2.2408278010921379E-10,1.0,5.9533147300783185E-9,undiff
Tile 11180,50682.0,15888.0,1.1045608871995682E-8,0.999998927116394,1.0628589279804146E-6,undiff
Tile 11183,50682.0,17424.0,3.151466040169845E-14,1.0,3.535821470139998E-14,undiff
Tile 11186,50682.0,18960.0,2.5539462986936753E-14,1.0,2.915713731652808E-14,undiff
Tile 11187,50682.0,19472.0,6.040168920584676E-10,1.0,6.525091023057428E-10,undiff
Tile 11188,50682.0,22544.0,4.257651453620781E-10,1.0,4.392401997677098E-10,undiff
Tile 11189,50682.0,23056.0,3.923602344002575E-5,0.9999215602874756,3.917257345165126E-5,undiff
Tile 11191,50682.0,24080.0,1.2469675465809349E-11,1.0,2.785326413956568E-10,undiff
Tile 11195,50682.0,26128.0,1.3645042561127863E-11,1.0,1.4654022786886323E-11,undiff
Tile 11203,50682.0,30224.0,9.56645544647472E-6,0.999976396560669,1.3982237760501448E-5,undiff
Tile 11204,50682.0,30736.0,2.5041540798611845E-20,1.0,2.8554403992301227E-20,undiff
Tile 11209,50682.0,33296.0,7.32100667915365E-18,1.0,1.0693528742831362E-17,undiff
Tile 11210,50682.0,33808.0,3.453510662325735E-15,1.0,3.818140770185056E-15,undiff
Tile 11213,50682.0,35344.0,9.062387107405812E-8,0.9999988079071045,1.0839416972885374E-6,undiff
Tile 11214,50682.0,35856.0,2.4182593775124487E-17,1.0,5.489150427869394E-16,undiff
Tile 11215,50682.0,36368.0,2.5979590716336736E-17,1.0,7.134987986897009E-17,undiff
Tile 11216,50682.0,36880.0,1.6549200974446537E-13,1.0,1.8569894970690837E-13,undiff
Tile 11218,50682.0,37904.0,2.717842871788889E-4,0.9873931407928467,0.012335024774074554,undiff
Tile 11219,50682.0,38416.0,1.3486942407325841E-7,0.9999929666519165,6.900555490574334E-6,undiff
Tile 11220,50682.0,38928.0,0.0011231082025915384,0.9977673292160034,0.0011095303343608975,undiff
Tile 11226,50682.0,42000.0,7.853047435967854E-15,1.0,5.0573298126339525E-14,undiff
Tile 11227,50682.0,42512.0,9.523772881436798E-9,1.0,9.875560813554785E-9,undiff
Tile 11232,50682.0,45072.0,4.4197647251038516E-14,1.0,5.0081249911015924E-14,undiff
Tile 11237,50682.0,47632.0,3.679180016202821E-10,0.9999986886978149,1.2939583484694595E-6,undiff
Tile 11238,50682.0,48144.0,5.7155030930289286E-8,0.9999898672103882,1.004926161840558E-5,undiff
Tile 11242,50682.0,50192.0,3.5081539895287506E-9,1.0,3.793291014630995E-9,undiff
Tile 11243,50682.0,50704.0,1.1019103226901416E-16,1.0,1.2930591891058355E-16,undiff
Tile 11250,50682.0,54288.0,1.981906479209261E-11,1.0,7.530440160330443E-11,undiff
Tile 11253,50682.0,55824.0,2.824764352446854E-16,1.0,3.2043957843789627E-16,undiff
Tile 11254,50682.0,56336.0,5.33838348928839E-4,0.9990930557250977,3.731239412445575E-4,undiff
Tile 11256,50682.0,57360.0,1.2080366275455529E-13,1.0,1.3094791906625297E-13,undiff
Tile 11264,50682.0,61456.0,1.4103022916156505E-10,1.0,1.5201667702413602E-10,undiff
Tile 11267,50682.0,62992.0,4.6000994680106544E-10,1.0,4.916124174414449E-10,undiff
Tile 11273,50682.0,66064.0,4.792067298531322E-10,1.0,5.128141800092578E-10,undiff
Tile 11274,50682.0,66576.0,2.2730081705724103E-11,1.0,2.4757182415235945E-11,undiff
Tile 11276,50682.0,67600.0,1.0518737326492555E-5,0.9999774694442749,1.1976090718235355E-5,undiff
Tile 11277,50682.0,68112.0,0.04354006424546242,0.9543445110321045,0.0021154468413442373,undiff
Tile 11278,50682.0,68624.0,0.01941143162548542,0.9800467491149902,5.418490036390722E-4,undiff
Tile 11280,50682.0,69648.0,1.547842657600995E-5,0.999968409538269,1.6051470083766617E-5,undiff
Tile 11287,50682.0,73232.0,6.714898290738347E-7,0.9999914169311523,7.905140591901727E-6,undiff
Tile 11289,50682.0,74256.0,7.488102710340172E-6,0.9999279975891113,6.451502122217789E-5,undiff
Tile 11290,50682.0,74768.0,5.2875095413185136E-9,1.0,6.512287598070543E-9,undiff
Tile 11294,50682.0,76816.0,1.4543998005933645E-8,0.9999998807907104,5.637949485048921E-8,undiff
Tile 11295,50682.0,77328.0,2.775777829810977E-5,0.9999059438705444,6.627681432291865E-5,undiff
Tile 11296,50682.0,77840.0,0.007646797690540552,0.9889422655105591,0.0034109444823116064,undiff
Tile 11304,50682.0,81936.0,4.2703962588319655E-10,1.0,4.540910314432267E-9,undiff
Tile 11308,50682.0,83984.0,4.083361648810069E-9,1.0,1.1824324630538285E-8,undiff
Tile 11309,50682.0,84496.0,1.4435302996343435E-12,1.0,2.011281549293975E-12,undiff
Tile 11310,50682.0,85008.0,5.009269388178694E-11,1.0,1.4800066727715944E-10,undiff
Tile 11314,50682.0,87056.0,2.1579634631052613E-4,0.9910207390785217,0.00876351073384285,undiff
Tile 11316,50682.0,88080.0,6.876223324070452E-8,0.9999997615814209,2.2320007531106967E-7,undiff
Tile 11317,50682.0,88592.0,1.9084781227151487E-13,1.0,3.3375515892664076E-13,undiff
Tile 11318,50682.0,89104.0,3.596400333094607E-8,0.9999997615814209,1.662917412659226E-7,undiff
Tile 11319,50682.0,89616.0,3.1170602818303807E-15,1.0,3.630614875443005E-15,undiff
Tile 11320,50682.0,90128.0,8.203892426505988E-11,1.0,1.1778639175119565E-10,undiff
Tile 11321,50682.0,90640.0,2.7767161833724963E-11,1.0,3.016834351776687E-11,undiff
Tile 11335,51195.0,1552.0,1.8137189544838693E-14,1.0,1.883319990572934E-14,undiff
Tile 11336,51195.0,2064.0,2.061524880653514E-15,1.0,2.349275313604719E-15,undiff
Tile 11337,51195.0,2576.0,2.3840806173854034E-13,1.0,2.581914445697747E-13,undiff
Tile 11338,51195.0,5648.0,2.0394632163633908E-11,1.0,2.10295496294588E-11,undiff
Tile 11339,51195.0,6160.0,2.998584136548743E-8,0.9999997615814209,1.8992670902662212E-7,undiff
Tile 11349,51195.0,11280.0,9.100423525865153E-9,0.9999972581863403,2.706357008719351E-6,undiff
Tile 11352,51195.0,12816.0,3.0145313940010965E-4,0.9980834722518921,0.001615044311620295,undiff
Tile 11353,51195.0,13328.0,2.03696120973327E-17,1.0,1.6523857325148215E-15,undiff
Tile 11357,51195.0,15376.0,1.0572592801239011E-10,1.0,5.801392255477822E-9,undiff
Tile 11359,51195.0,16400.0,6.788184507975823E-16,1.0,7.994379012502852E-16,undiff
Tile 11361,51195.0,17424.0,5.152530866325833E-5,0.9961264729499817,0.00382206030189991,undiff
Tile 11366,51195.0,19984.0,1.249600927621941E-6,0.9999974966049194,1.2378160363368806E-6,undiff
Tile 11368,51195.0,23056.0,1.7894926713779569E-6,0.9999964237213135,1.8089365312334849E-6,undiff
Tile 11369,51195.0,23568.0,5.933243025851246E-15,1.0,6.192822201767957E-15,undiff
